Date,Track Name,Artist,Genre,Tempo,Loudness,Productivity
2024-12-12,Solo,Myles Smith,singer-songwriter pop,172.265853882,0.908984184265,62.5
2024-12-12,I Want It That Way,Backstreet Boys,"boy band, dance pop, pop",164.169509888,0.506190299988,62.5
2024-13-12,Revenge,XXXTENTACION,"emo rap, miami hip hop, rap",126.910697937,0.908984184265,75.0
2024-13-12,Aşk Durdukça,Yüksek Sadakat,"turkish pop, turkish rock",126.910697937,0.908984184265,75.0
2024-13-12,A Storm on a Summers Day,"Full Crate, Gaidaa","alternative r&b, arab alternative, indie r&b, sudanese pop",126.910697937,0.908984184265,75.0
2024-13-12,Close Eyes,DVRST,"chill phonk, drift phonk",126.910697937,0.908984184265,75.0
2024-13-12,3 Nights,Dominic Fike,"alternative pop rock, pov: indie",126.910697937,0.908984184265,75.0
2024-13-12,Safe And Sound,Capital Cities,"metropopolis, modern rock",99.9584350586,0.934315443039,75.0
2024-13-12,snowfall,"Øneheart, reidenshi",ambient lo-fi,126.910697937,0.908984184265,75.0
2024-13-12,Sunny Days,Allen Stone,retro soul,126.910697937,0.908984184265,75.0
2024-13-12,Beteri Yok Uslanmaktan,Nova Norda,"turkish alt pop, turkish rock",126.910697937,0.908984184265,75.0
2024-13-12,Romantic Lover,Eyedress,"noise pop, pov: indie",126.910697937,0.908984184265,75.0
2024-13-12,edamame,"bbno$, Rich Brian","new school turkce rap, turkish hip hop",126.910697937,0.908984184265,75.0
2024-13-12,Ophelia,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler",126.910697937,0.908984184265,75.0
2024-13-12,Where's My Love - Acoustic,SYML,modern indie pop,126.910697937,0.908984184265,75.0
2024-13-12,Mwaki,"Zerb, Sofiya Nzau",pop dance,126.910697937,0.908984184265,75.0
2024-13-12,Dandelions,Ruth B.,"alt z, canadian contemporary r&b, canadian pop, pop",126.910697937,0.908984184265,75.0
2024-13-12,Luminary,Joel Sunny,pop violin,126.910697937,0.908984184265,75.0
2024-13-12,Envious,SAULT,"alternative r&b, indie soul, pop soul",131.999938965,0.922782719135,75.0
2024-13-12,Love Somebody,Morgan Wallen,contemporary country,126.910697937,0.908984184265,75.0
2024-14-12,Undercover Martyn,Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie",126.910697937,0.908984184265,0.0
2024-14-12,Ho Hey,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler",126.910697937,0.908984184265,0.0
2024-14-12,Espresso,Sabrina Carpenter,pop,125.98135376,0.924481570721,0.0
2024-14-12,Affet Beni Sevgilim,"Ege Balkiz, Burry Soprano","turkce drill, turkish hip hop, turkish trap",126.910697937,0.908984184265,0.0
2024-14-12,gözlerindeki ay,Mavi,new school turkce rap,126.910697937,0.908984184265,0.0
2024-14-12,greedy,Tate McRae,pop,125.98135376,0.924481570721,0.0
2024-14-12,Beş,Gripin,"turkish alternative, turkish pop, turkish rock",99.4193344116,0.931311070919,0.0
2024-14-12,UP!,"Forrest Frank, Connor Price",singer-songwriter pop,172.265853882,0.908984184265,0.0
2024-14-12,Another Level,Oh The Larceny,"bossbeat, rebel blues",126.910697937,0.908984184265,0.0
2024-14-12,A Bar Song (Tipsy),Shaboozey,"modern country pop, pop rap",126.910697937,0.908984184265,0.0
2024-15-12,Espresso,Sabrina Carpenter,pop,125.98135376,0.924481570721,0.0
2024-15-12,Solo Dance,Martin Jensen,"danish electronic, edm, pop dance",126.910697937,0.908984184265,0.0
2024-15-12,Fener,Yüksek Sadakat,"turkish pop, turkish rock",126.910697937,0.908984184265,0.0
2024-15-12,Revenge,XXXTENTACION,"emo rap, miami hip hop, rap",126.910697937,0.908984184265,0.0
2024-15-12,"Quizás, Quizás - Live",Buena Vista Social Club,"latin jazz, musica tradicional cubana, world",132.962982178,0.883994519711,0.0
2024-15-12,PİÇ,Canozan,"turkish alt pop, turkish alternative rock, turkish rock",126.910697937,0.908984184265,0.0
2024-15-12,Dynamite,Taio Cruz,"dance pop, pop, pop rap",126.910697937,0.908984184265,0.0
2024-15-12,Rauch,MERO,german hip hop,126.910697937,0.908984184265,0.0
2024-15-12,Idea 22 (Sped Up),Gibran Alcocer,ambient lo-fi,126.910697937,0.908984184265,0.0
2024-15-12,Hussle Nipsey,MERO,german hip hop,126.910697937,0.908984184265,0.0
2024-15-12,Idea 7,Gibran Alcocer,ambient lo-fi,126.910697937,0.908984184265,0.0
2024-15-12,Too Sweet,Hozier,"irish singer-songwriter, modern rock, pop, pov: indie",126.910697937,0.908984184265,0.0
2024-15-12,The Color Violet,Tory Lanez,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",126.910697937,0.908984184265,0.0
2024-16-12,Domino,Jessie J,"dance pop, pop",87.6855163574,0.879524111748,0.0
