Track Name,Artist,Track ID,Genres,Tempo,Loudness,Danceability
It's Not Right But It's Okay,Mr. Belt & Wezol,5OFVzqSeFxGpvDGyHvVeLj,"dutch edm, house",,,
Drop That Low (When I Dip),Tujamo,0WSjVLITbxV6kVXndziQDm,"dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house",,,
Goca Dünya,Altin Gün,5QO3UJc1gF1ummP75n2b3R,"dutch indie, turkish psych",,,
Sundress,A$AP Rocky,2aPTvyE09vUCRwVvj0I8WK,"east coast hip hop, hip hop, rap",,,
Purple Hat,Sofi Tukker,6WiGRFQfx2qw49MA7OeDYK,edm,,,
More Than You Know,Axwell /\ Ingrosso,6h5PAsRni4IRlxWr6uDPTP,"edm, pop dance, progressive electro house",,,
Post Malone (feat. RANI),"Sam Feldt, RANI",36orMWv2PgvnzXsd5CJ0yL,"edm, pop dance, tropical house",,,
(It Goes Like) Nanana - Edit,Peggy Gou,23RoR84KodL5HWvUTneQ1w,"electra, float house",,,
Got To Be Good,"Gotts Street Park, Pip Millett",59QJsTw38Jj13WnR1qz1MC,electro jazz,,,
Revenge,XXXTENTACION,5TXDeTFVRVY7Cvt0Dw4vWW,"emo rap, miami hip hop, rap",,,
BAIXO,xxanteria,0rb7HcBkdMPp04ybHBfX41,"emo rap, miami hip hop, rap",,,
Centuries,Fall Out Boy,04aAxqtGp5pv12UXAg4pkq,"emo, modern rock, pop, rock",,,
Retro Emporium,The Reytons,1AAtrXSe2bI1ExqxxusBDO,english indie rock,,,
Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,"europop, swedish pop",,,
Bamboléo,Gipsy Kings,3iB8eciGU9vZkaDYkz7Ir9,"flamenco, rumba, world",,,
"Djobi, Djoba",Gipsy Kings,2Mz7HwloqFNdA6iZeZk5PJ,"flamenco, rumba, world",121.763412476,0.935264050961,
Volare (Nel Blu di Pinto di Blu),Gipsy Kings,4OjJAGDDZTLlTNeOMBl7UM,"flamenco, rumba, world",,,
"Bem, Bem, Maria",Gipsy Kings,101m14qrjLJtXR4IwcXYv8,"flamenco, rumba, world",,,
Little Talks,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,"folk-pop, metropopolis, modern rock, stomp and holler",,,
Riptide,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,"folk-pop, modern rock",,,
Clarity,Vance Joy,5c6lM2zjAF6MFoD8C1hiBr,"folk-pop, modern rock",,,
Ophelia,The Lumineers,5NORWMFC27ywGSZxi8uquP,"folk-pop, modern rock, neo mellow, stomp and holler",,,
Ho Hey,The Lumineers,0DwClY2t9YAWHBROMIgrXb,"folk-pop, modern rock, neo mellow, stomp and holler",,,
